sample_name	shotgun_woltka_reads
12201.food.kimchi.1.2.microbiome.H	1034688.0
12201.stool.cat.L.3.standard.H	1034555.0
12201.stool.human.A.1.powersoil.H	1021506.0
12201.oral.human.A.2.microbiome.H	1019105.0
12201.food.yogurt.2.3.homebrew.H	1017670.0
12201.stool.human.H.1.norgen.H	1016833.0
12201.stool.human.I.2.norgen.H	1016241.0
12201.s.la.C.3.magmax.L	995809.0
12201.tissue.mouse.O.2.homebrew.H	987297.0
12201.stool.mouse.L.2.microbiome.H	986806.0
12201.stool.human.G.1.norgen.H	984427.0
12201.stool.mouse.M.1.zymoMA.H	983462.0
12201.food.kimchi.1.3.microbiome.H	980272.0
12201.oral.human.K.1.powersoil.H	968003.0
12201.food.yogurt.1.2.microbiome.H	954101.0
12201.food.kimchi.2.1.magmax.H	952911.0
12201.tissue.mouse.O.3.homebrew.H	952784.0
12201.tissue.mouse.P.1.homebrew.H	949148.0
12201.stool.human.A.1.pro.H	948238.0
12201.oral.human.A.3.zymoMA.H	944143.0
12201.food.yogurt.1.3.homebrew.H	943177.0
12201.stool.human.A.2.norgen.H	942532.0
12201.stool.human.I.1.norgen.H	939920.0
12201.food.yogurt.1.1.homebrew.H	936437.0
12201.stool.human.G.2.pro.H	934474.0
12201.stool.human.B.2.pro.H	924581.0
12201.mock.community.d3.1.nucleomag.L	923185.0
12201.food.yogurt.2.1.pro.H	920734.0
12201.mc.d2.3.magmax.L	920604.0
12201.stool.human.A.2.magmax.H	920542.0
12201.stool.mouse.L.2.zymoMA.H	912816.0
12201.stool.mouse.L.1.microbiome.H	905208.0
12201.oral.human.A.3.powersoil.H	892157.0
12201.food.yogurt.1.1.nucleomag.H	877221.0
12201.tissue.mouse.O.1.homebrew.H	873264.0
12201.stool.human.J.2.2.zymoMA.H	870538.0
12201.stool.mouse.L.1.nucleomag.H	860095.0
12201.oral.human.A.2.powersoil.H	856027.0
12201.stool.mouse.M.3.zymoMA.H	851195.0
12201.oral.human.A.1.powersoil.H	849486.0
12201.stool.cat.L.2.magmax.H	847754.0
12201.mc.d1.1.pro.L	846735.0
12201.stool.cat.N.2.magmax.H	845480.0
12201.stool.mouse.M.2.microbiome.H	843973.0
12201.stool.cat.L.2.norgen.H	833160.0
12201.stool.cat.M.1.pro.H	831984.0
12201.stool.cat.N.3.magmax.H	829194.0
12201.stool.human.G.1.pro.H	828648.0
12201.stool.mouse.L.3.microbiome.H	826525.0
12201.mock.community.d3.1.powersoil.L	826008.0
12201.food.kimchi.1.3.nucleomag.H	824852.0
12201.stool.mouse.L.2.powersoil.H	824482.0
12201.food.yogurt.1.1.zymoMA.H	822576.0
12201.stool.human.A.1.magmax.H	819662.0
12201.stool.mouse.M.1.nucleomag.H	812817.0
12201.stool.mouse.L.3.powersoil.H	811438.0
12201.stool.cat.M.2.magmax.H	805975.0
12201.food.yogurt.1.1.pro.H	802808.0
12201.stool.mouse.M.2.powersoil.H	801271.0
12201.tissue.mouse.P.2.homebrew.H	798985.0
12201.stool.cat.N.3.microbiome.H	791564.0
12201.stool.cat.M.1.magmax.H	786541.0
12201.food.kimchi.2.2.magmax.H	785261.0
12201.stool.cat.N.1.magmax.H	776659.0
12201.stool.human.B.1.pro.H	768321.0
12201.oral.human.B.3.powersoil.H	766452.0
12201.mock.community.d1.magmax.H	762955.0
12201.mock.community.d2.magmax.H	762824.0
12201.stool.cat.N.1.zymoMA.H	754672.0
12201.mc.d2.2.magmax.L	751054.0
12201.oral.human.B.1.powersoil.H	750906.0
12201.tissue.mouse.O.1.magmax.H	736979.0
12201.stool.human.I.3.homebrew.H	736962.0
12201.food.yogurt.2.2.pro.H	735998.0
12201.tissue.mouse.R.2.microbiome.H	734719.0
12201.oral.human.A.2.zymoMA.H	731324.0
12201.stool.mouse.L.1.powersoil.H	727366.0
12201.oral.human.K.2.zymoMA.H	722663.0
12201.food.yogurt.1.2.homebrew.H	710564.0
12201.food.kimchi.1.1.magmax.H	705803.0
12201.skin.foot.A.1.nucleomag.L	701130.0
12201.water.sea.A.1.nucleomag.L	682079.0
12201.stool.human.G.1.standard.H	681006.0
12201.skin.armpit.C.1.nucleomag.L	673447.0
12201.stool.mouse.M.2.zymoMA.H	671280.0
12201.s.la.C.1.magmax.L	666800.0
12201.stool.mouse.L.3.zymoMA.H	663109.0
12201.oral.human.B.3.homebrew.H	661881.0
12201.food.kimchi.2.3.magmax.H	660969.0
12201.oral.human.B.1.homebrew.H	660313.0
12201.tissue.mouse.P.3.homebrew.H	657186.0
12201.tissue.mouse.R.3.microbiome.H	648044.0
12201.stool.mouse.L.3.nucleomag.H	646340.0
12201.mock.community.d6.magmax.H	630033.0
12201.stool.human.J.2.1.powersoil.H	629659.0
12201.stool.human.A.1.standard.H	626773.0
12201.s.lf.C.2.homebrew.L	619921.0
12201.stool.human.B.3.standard.H	610891.0
12201.skin.armpit.C.2.microbiome.L	607803.0
12201.food.kimchi.1.1.nucleomag.H	606268.0
12201.stool.human.B.1.homebrew.H	603500.0
12201.stool.cat.M.1.microbiome.H	603289.0
12201.stool.human.H.2.magmax.H	601835.0
12201.stool.human.G.2.norgen.H	596785.0
12201.oral.human.A.3.homebrew.H	594417.0
12201.stool.human.H.3.standard.H	594116.0
12201.stool.human.B.2.magmax.H	593933.0
12201.stool.mouse.M.1.powersoil.H	593277.0
12201.oral.human.L.1.powersoil.H	585655.0
12201.stool.human.I.1.homebrew.H	585266.0
12201.mock.community.d3.1.zymoMA.L	583809.0
12201.tissue.mouse.O.2.magmax.H	582369.0
12201.food.kimchi.1.2.homebrew.H	582357.0
12201.oral.human.A.2.homebrew.H	581908.0
12201.stool.human.H.2.homebrew.H	580185.0
12201.stool.mouse.M.1.microbiome.H	577318.0
12201.food.kimchi.1.2.nucleomag.H	575502.0
12201.stool.cat.M.1.homebrew.H	564160.0
12201.tissue.mouse.O.3.magmax.H	563465.0
12201.stool.human.B.3.homebrew.H	563257.0
12201.food.yogurt.1.2.pro.H	561681.0
12201.stool.human.H.2.standard.H	558192.0
12201.stool.human.B.3.magmax.H	557619.0
12201.oral.human.F.1.magmax.H	553768.0
12201.oral.human.D.3.nucleomag.H	553107.0
12201.tissue.mouse.Q.2.zymoMA.H	551114.0
12201.mock.community.d5.magmax.H	549687.0
12201.stool.human.G.3.homebrew.H	548956.0
12201.stool.human.G.3.pro.H	547702.0
12201.stool.cat.L.1.magmax.H	544680.0
12201.stool.human.H.3.magmax.H	540810.0
12201.s.lf.A.1.magmax.L	535846.0
12201.oral.human.D.2.nucleomag.H	531517.0
12201.stool.human.A.3.magmax.H	531438.0
12201.oral.human.K.3.nucleomag.H	521829.0
12201.mock.community.d3.2.nucleomag.L	520587.0
12201.food.yogurt.1.1.microbiome.H	518863.0
12201.tissue.mouse.P.1.magmax.H	518626.0
12201.stool.human.A.3.pro.H	518509.0
12201.stool.human.I.1.standard.H	517161.0
